lemma,pos,cefr,gender,word,plural,pluralPattern,singularOnly,pluralOnly,governedCase,partizipII,auxiliary,praesens3sg,isSeparable,exampleDE,exampleEN,sourceLine,verification
ab,other,A1,,ab,,,0,0,,,,,0,Ab morgen muss ich arbeiten.,I have to work from tomorrow.,ab	Ab morgen muss ich arbeiten.	I have to work from tomorrow.,
der Mensch,noun,A1,der,Mensch,Menschen,-en,0,0,,,,,0,Die Menschen sind hier anders als bei uns.,People here are different from us.,"der Mensch, -en	Die Menschen sind hier anders als bei uns.	People here are different from us.",verified
mieten,verb,A1,,mieten,,,0,0,,,,,0,Ich möchte ein Auto mieten.,I would like to rent a car.,mieten	Ich möchte ein Auto mieten.	I would like to rent a car.,
die Miete,noun,A1,die,Miete,Mieten,-n,0,0,,,,,0,Die Miete für diese Wohnung ist 600 Euro.,The rent for this apartment is 600 euros.,die Miete	Die Miete für diese Wohnung ist 600 Euro.	The rent for this apartment is 600 euros.,verified
die Milch,noun,A1,die,Milch,,,1,0,,,,,0,Die Milch steht im Kühlschrank.,The milk is in the refrigerator.,die Milch	Die Milch steht im Kühlschrank.	The milk is in the refrigerator.,verified
mit,preposition,A1,,mit,,,0,0,dativ,,,,0,Trinken Sie den Kaffee mit Milch?,Do you take your coffee with milk?,mit	Trinken Sie den Kaffee mit Milch?	Do you take your coffee with milk?,
mitbringen,verb,A1,,mitbringen,,,0,0,,,,,1,Ich gehe einkaufen. Soll ich dir was mitbringen?,I’m going shopping. Should I bring you something?,mitbringen	Ich gehe einkaufen. Soll ich dir was mitbringen?	I’m going shopping. Should I bring you something?,
mitkommen,verb,A1,,mitkommen,,,0,0,,,,,1,Ich gehe ins Kino. Kommst du mit?,I’m going to the cinema. Are you coming?,mitkommen	Ich gehe ins Kino. Kommst du mit?	I’m going to the cinema. Are you coming?,
mitmachen,verb,A1,,mitmachen,,,0,0,,,,,1,Warum macht ihr nicht mit?,Why don’t you join in?,mitmachen	Warum macht ihr nicht mit?	Why don’t you join in?,
mitnehmen,verb,A1,,mitnehmen,,,0,0,,,,,1,Nehmen wir meine Schwester ins Kino mit?,Should we take my sister to the cinema with us?,mitnehmen	Nehmen wir meine Schwester ins Kino mit?	Should we take my sister to the cinema with us?,
die Mitte,noun,A1,die,Mitte,Mitten,-n,0,0,,,,,0,Der Lehrer steht in der Mitte des Klassenzimmers.,The teacher is standing in the middle of the classroom.,die Mitte	Der Lehrer steht in der Mitte des Klassenzimmers.	The teacher is standing in the middle of the classroom.,verified
die Möbel,noun,A1,die,Möbel,Möbel,wiktionary,0,1,,,,,0,Sind die Möbel neu?,Are the furniture new?,die Möbel (pl.)	Sind die Möbel neu?	Are the furniture new?,verified
möchten,verb,A1,,möchten,,,0,0,,,,,0,Was möchten Sie trinken?,What would you like to drink?,möchten	Was möchten Sie trinken?	What would you like to drink?,
mögen,verb,A1,,mögen,,,0,0,,,,,0,Magst du Kaffee oder Tee?,Do you like coffee or tea?,mögen	Magst du Kaffee oder Tee?	Do you like coffee or tea?,
möglich,other,A1,,möglich,,,0,0,,,,,0,Mit dieser Fahrkarte ist die Fahrt ab 9 Uhr möglich.,"With this ticket, travel is possible from 9 a.m.","möglich	Mit dieser Fahrkarte ist die Fahrt ab 9 Uhr möglich.	With this ticket, travel is possible from 9 a.m.",
der Moment,noun,A1,der,Moment,Momente,-e,0,0,,,,,0,Moment mal bitte!,"Just a moment, please!","der Moment(1)	Moment mal bitte!	Just a moment, please!",verified
morgen,verb,A1,,morgen,,,0,0,,,,,0,Morgen beginnt die Schule um 10 Uhr.,School starts at 10 a.m. tomorrow.,morgen	Morgen beginnt die Schule um 10 Uhr.	School starts at 10 a.m. tomorrow.,
müde,other,A1,,müde,,,0,0,,,,,0,Ich bin müde. Ich gehe schlafen.,I’m tired. I’m going to sleep.,müde	Ich bin müde. Ich gehe schlafen.	I’m tired. I’m going to sleep.,
der Mund,noun,A1,der,Mund,Münder,¨-er,0,0,,,,,0,Öffnen Sie den Mund.,Open your mouth.,der Mund	Öffnen Sie den Mund.	Open your mouth.,verified
müssen,verb,A1,,müssen,,,0,0,,,,,0,Ich muss jeden Tag von 8 Uhr bis 18 Uhr arbeiten.,I have to work every day from 8 a.m. to 6 p.m.,müssen	Ich muss jeden Tag von 8 Uhr bis 18 Uhr arbeiten.	I have to work every day from 8 a.m. to 6 p.m.,
die Mutter,noun,A1,die,Mutter,Mütter,-ü,0,0,,,,,0,Frau Berghäuser ist die Mutter von Michaela.,Mrs. Berghäuser is Michaela’s mother.,"die Mutter, -ü	Frau Berghäuser ist die Mutter von Michaela.	Mrs. Berghäuser is Michaela’s mother.",verified
nach,preposition,A1,,nach,,,0,0,dativ,,,,0,Ich gehe jetzt nach Hause.,I’m going home now.,nach(1)	Ich gehe jetzt nach Hause.	I’m going home now.,
nächst-,other,A1,,nächst-,,,0,0,,,,,0,Sehen wir uns nächste Woche?,Shall we see each other next week?,nächst-	Sehen wir uns nächste Woche?	Shall we see each other next week?,
der Name,noun,A1,der,Name,Namen,-n,0,0,,,,,0,Mein Name ist Thomas Schmidt.,My name is Thomas Schmidt.,"der Name, -n(1)	Mein Name ist Thomas Schmidt.	My name is Thomas Schmidt.",verified
nehmen,verb,A1,,nehmen,,,0,0,,,,,0,Heute gibt es Hähnchen. Das nehme ich.,Today there’s chicken. I’ll take that.,nehmen(1)	Heute gibt es Hähnchen. Das nehme ich.	Today there’s chicken. I’ll take that.,
nein,other,A1,,nein,,,0,0,,,,,0,"Fährst du auch nach München? – Nein, ich habe keine Zeit.","Are you going to Munich too? – No, I don’t have time.","nein	Fährst du auch nach München? – Nein, ich habe keine Zeit.	Are you going to Munich too? – No, I don’t have time.",
neu,other,A1,,neu,,,0,0,,,,,0,Ich bin der neue Kollege.,I’m the new colleague.,neu(1)	Ich bin der neue Kollege.	I’m the new colleague.,
nicht,other,A1,,nicht,,,0,0,,,,,0,Das stimmt nicht.,That’s not true.,nicht(1)	Das stimmt nicht.	That’s not true.,
nichts,other,A1,,nichts,,,0,0,,,,,0,Das macht nichts.,It doesn’t matter.,nichts(1)	Das macht nichts.	It doesn’t matter.,
nie,other,A1,,nie,,,0,0,,,,,0,Er kommt nie pünktlich.,He never arrives on time.,nie	Er kommt nie pünktlich.	He never arrives on time.,
noch,other,A1,,noch,,,0,0,,,,,0,Vielleicht kommt er noch.,Maybe he’ll come after all.,noch(1)	Vielleicht kommt er noch.	Maybe he’ll come after all.,
normal,other,A1,,normal,,,0,0,,,,,0,75 kg. Sein Gewicht ist normal. 75 kg.,His weight is normal.,normal	75 kg. Sein Gewicht ist normal. 75 kg.	His weight is normal.,
die Nummer,noun,A1,die,Nummer,Nummern,-n,0,0,,,,,0,Sie haben Zimmer Nummer zwölf.,You have room number twelve.,"die Nummer, -n(1)	Sie haben Zimmer Nummer zwölf.	You have room number twelve.",verified
nur,other,A1,,nur,,,0,0,,,,,0,Ich möchte nur ein Glas Wasser.,I’d like only a glass of water.,nur	Ich möchte nur ein Glas Wasser.	I’d like only a glass of water.,
oben,verb,A1,,oben,,,0,0,,,,,0,Ich wohne oben.,I live upstairs.,oben	Ich wohne oben.	I live upstairs.,
das Obst,noun,A1,das,Obst,,,1,0,,,,,0,Im Sommer ist das Obst billig.,"In summer, the fruit is cheap.","das Obst	Im Sommer ist das Obst billig.	In summer, the fruit is cheap.",verified
oder,other,A1,,oder,,,0,0,,,,,0,Wann können Sie kommen – heute oder morgen?,When can you come – today or tomorrow?,oder	Wann können Sie kommen – heute oder morgen?	When can you come – today or tomorrow?,
öffnen,verb,A1,,öffnen,,,0,0,,,,,0,Ich öffne die Tür.,I’m opening the door.,öffnen	Ich öffne die Tür.	I’m opening the door.,
geöffnet,other,A1,,geöffnet,,,0,0,,,,,0,Der Laden ist samstags bis 16.00 Uhr geöffnet.,The store is open until 4 p.m. on Saturdays.,geöffnet	Der Laden ist samstags bis 16.00 Uhr geöffnet.	The store is open until 4 p.m. on Saturdays.,
oft,other,A1,,oft,,,0,0,,,,,0,Petra treffe ich oft.,I often meet Petra.,oft	Petra treffe ich oft.	I often meet Petra.,
ohne,preposition,A1,,ohne,,,0,0,akkusativ,,,,0,Ohne Geld kann er nichts kaufen.,"Without money, he can’t buy anything.","ohne(1)	Ohne Geld kann er nichts kaufen.	Without money, he can’t buy anything.",
die Oma,noun,A1,die,Oma,Omas,-s,0,0,,,,,0,Meine Oma ist schon tot.,My grandma is already dead.,"die Oma, -s	Meine Oma ist schon tot.	My grandma is already dead.",verified
der Opa,noun,A1,der,Opa,Opas,-s,0,0,,,,,0,Mein Opa heißt Hans.,My grandpa’s name is Hans.,"der Opa, -s	Mein Opa heißt Hans.	My grandpa’s name is Hans.",verified
die Ordnung,noun,A1,die,Ordnung,Ordnungen,-en,0,0,,,,,0,Das ist in Ordnung.,That’s all right.,die Ordnung	Das ist in Ordnung.	That’s all right.,verified
der Ort,noun,A1,der,Ort,Orte,-e,0,0,,,,,0,Der Ort liegt am Meer.,The place is by the sea.,"der Ort, -e	Der Ort liegt am Meer.	The place is by the sea.",verified
das Papier,noun,A1,das,Papier,Papiere,-e,0,0,,,,,0,Hier sind Papier und Bleistift.,Here are paper and pencil.,das Papier	Hier sind Papier und Bleistift.	Here are paper and pencil.,verified
die Papiere,noun,A1,die,Papiere,,,0,1,,,,,0,Haben Sie Ihre Papiere dabei?,Do you have your papers with you?,die Papiere (pl.)	Haben Sie Ihre Papiere dabei?	Do you have your papers with you?,unverified
der Partner,noun,A1,der,Partner,Partner,-,0,0,,,,,0,Sie ist meine Partnerin.,She is my partner.,"der Partner, -/ die Partnerin, -nen	Sie ist meine Partnerin.	She is my partner.",verified
die Partnerin,noun,A1,die,Partnerin,Partnerinnen,-nen,0,0,,,,,0,Sie ist meine Partnerin.,She is my partner.,"der Partner, -/ die Partnerin, -nen	Sie ist meine Partnerin.	She is my partner.",verified
die Party,noun,A1,die,Party,Partys,-s,0,0,,,,,0,Heute Abend machen wir eine Party.,We’re having a party tonight.,die Party	Heute Abend machen wir eine Party.	We’re having a party tonight.,verified
der Pass,noun,A1,der,Pass,Pässe,"-ä, e",0,0,,,,,0,Im Hotel brauchst du deinen Pass.,You need your passport at the hotel.,"der Pass, -ä, e	Im Hotel brauchst du deinen Pass.	You need your passport at the hotel.",verified
die Pause,noun,A1,die,Pause,Pausen,-n,0,0,,,,,0,Von 12.00 bis 12.30 Uhr haben wir Mittagspause.,We have a lunch break from 12:00 to 12:30.,"die Pause, -n	Von 12.00 bis 12.30 Uhr haben wir Mittagspause.	We have a lunch break from 12:00 to 12:30.",verified
der Plan,noun,A1,der,Plan,Pläne,"-ä, e",0,0,,,,,0,Ich kaufe mir einen Stadtplan.,I’m buying a city map.,"der Plan, -ä, e	Ich kaufe mir einen Stadtplan.	I’m buying a city map.",verified
der Platz,noun,A1,der,Platz,Plätze,"-ä, e",0,0,,,,,0,"Tut mir leid, der Platz ist besetzt.","Sorry, the seat is taken.","der Platz, -ä, e(1)	Tut mir leid, der Platz ist besetzt.	Sorry, the seat is taken.",verified
die Polizei,noun,A1,die,Polizei,,,1,0,,,,,0,Holen Sie die Polizei!,Call the police!,die Polizei	Holen Sie die Polizei!	Call the police!,verified
die Pommes frites,noun,A1,die,Pommes frites,Pommes frites,wiktionary,0,1,,,,,0,Die Kinder essen Hähnchen mit Pommes frites.,The children are eating chicken with fries.,die Pommes frites (pl.)	Die Kinder essen Hähnchen mit Pommes frites.	The children are eating chicken with fries.,verified
die Post,noun,A1,die,Post,,,1,0,,,,,0,"Wo ist die Post, bitte?","Where is the post office, please?","die Post(1)	Wo ist die Post, bitte?	Where is the post office, please?",verified
die Postleitzahl,noun,A1,die,Postleitzahl,Postleitzahlen,-en,0,0,,,,,0,Wie ist Ihre Postleitzahl?,What is your postal code?,die Postleitzahl	Wie ist Ihre Postleitzahl?	What is your postal code?,verified
das Praktikum,noun,A1,das,Praktikum,Praktika,wiktionary,0,0,,,,,0,Ich mache ein Praktikum bei Siemens.,I’m doing an internship at Siemens.,das Praktikum	Ich mache ein Praktikum bei Siemens.	I’m doing an internship at Siemens.,verified
die Praxis,noun,A1,die,Praxis,Praxen,wiktionary,0,0,,,,,0,Die Praxis ist ab acht Uhr geöffnet.,The practice is open from 8 a.m.,die Praxis	Die Praxis ist ab acht Uhr geöffnet.	The practice is open from 8 a.m.,verified
der Preis,noun,A1,der,Preis,Preise,-e,0,0,,,,,0,Die Preise sind hoch.,The prices are high.,"der Preis, -e	Die Preise sind hoch.	The prices are high.",verified
das Problem,noun,A1,das,Problem,Probleme,-e,0,0,,,,,0,Mein Problem ist die Sprache.,My problem is the language.,"das Problem, -e	Mein Problem ist die Sprache.	My problem is the language.",verified
der Prospekt,noun,A1,der,Prospekt,Prospekte,-e,0,0,,,,,0,Bitte schicken Sie mir einen Prospekt von Ihrem Hotel.,Please send me a brochure of your hotel.,"der Prospekt, -e	Bitte schicken Sie mir einen Prospekt von Ihrem Hotel.	Please send me a brochure of your hotel.",verified
die Prüfung,noun,A1,die,Prüfung,Prüfungen,-en,0,0,,,,,0,Die Prüfung ist am Montag um 8.00 Uhr.,The exam is on Monday at 8 a.m.,die Prüfung	Die Prüfung ist am Montag um 8.00 Uhr.	The exam is on Monday at 8 a.m.,verified
pünktlich,other,A1,,pünktlich,,,0,0,,,,,0,Der Bus fährt pünktlich um acht Uhr.,The bus leaves on time at 8 a.m.,pünktlich(1)	Der Bus fährt pünktlich um acht Uhr.	The bus leaves on time at 8 a.m.,
Rad fahren,other,A1,,Rad fahren,,,0,0,,,,,0,Das Kind kann schon Rad fahren.,The child can already ride a bike.,Rad fahren	Das Kind kann schon Rad fahren.	The child can already ride a bike.,
rauchen,verb,A1,,rauchen,,,0,0,,,,,0,Ich rauche nicht.,I don’t smoke.,rauchen	Ich rauche nicht.	I don’t smoke.,
der Raum,noun,A1,der,Raum,Räume,"-ä, e",0,0,,,,,0,Der Unterricht ist in Raum 332.,The class is in room 332.,"der Raum, -ä, e	Der Unterricht ist in Raum 332.	The class is in room 332.",verified
die Rechnung,noun,A1,die,Rechnung,Rechnungen,-en,0,0,,,,,0,"Die Rechnung, bitte.","The bill, please.","die Rechnung, -en	Die Rechnung, bitte.	The bill, please.",verified
rechts,other,A1,,rechts,,,0,0,,,,,0,Die Schillerstraße ist hier rechts.,Schiller Street is on the right here.,rechts	Die Schillerstraße ist hier rechts.	Schiller Street is on the right here.,
regnen,verb,A1,,regnen,,,0,0,,,,,0,Heute regnet es.,It’s raining today.,regnen	Heute regnet es.	It’s raining today.,
der Regen,noun,A1,der,Regen,,,1,0,,,,,0,Bei diesem Regen gehe ich nicht raus.,I’m not going out in this rain.,der Regen	Bei diesem Regen gehe ich nicht raus.	I’m not going out in this rain.,verified
der Reis,noun,A1,der,Reis,,,1,0,,,,,0,Ich esse gern Reis.,I like eating rice.,der Reis	Ich esse gern Reis.	I like eating rice.,verified
reisen,verb,A1,,reisen,,,0,0,,,,,0,Ich reise gern.,I like traveling.,reisen	Ich reise gern.	I like traveling.,
die Reise,noun,A1,die,Reise,Reisen,-n,0,0,,,,,0,Wir machen eine Reise nach Österreich.,We’re taking a trip to Austria.,die Reise	Wir machen eine Reise nach Österreich.	We’re taking a trip to Austria.,verified
das Reisebüro,noun,A1,das,Reisebüro,Reisebüros,-s,0,0,,,,,0,Mein Mann arbeitet im Reisebüro.,My husband works at a travel agency.,"das Reisebüro, -s	Mein Mann arbeitet im Reisebüro.	My husband works at a travel agency.",verified
der Reiseführer,noun,A1,der,Reiseführer,Reiseführer,-,0,0,,,,,0,Ich kaufe mir einen Reiseführer von Berlin.,I’m buying a guidebook about Berlin.,der Reiseführer(1)	Ich kaufe mir einen Reiseführer von Berlin.	I’m buying a guidebook about Berlin.,verified
reparieren,verb,A1,,reparieren,,,0,0,,,,,0,Er hat das Fahrrad repariert.,He repaired the bike.,reparieren	Er hat das Fahrrad repariert.	He repaired the bike.,
die Reparatur,noun,A1,die,Reparatur,Reparaturen,-en,0,0,,,,,0,Die Reparatur ist sehr teuer.,The repair is very expensive.,die Reparatur	Die Reparatur ist sehr teuer.	The repair is very expensive.,verified
das Restaurant,noun,A1,das,Restaurant,Restaurants,-s,0,0,,,,,0,Wir essen heute in einem Restaurant.,We’re eating at a restaurant today.,"das Restaurant, -s	Wir essen heute in einem Restaurant.	We’re eating at a restaurant today.",verified
die Rezeption,noun,A1,die,Rezeption,Rezeptionen,-en,0,0,,,,,0,Fragen Sie bitte im Hotel an der Rezeption.,Please ask at the reception desk at the hotel.,die Rezeption	Fragen Sie bitte im Hotel an der Rezeption.	Please ask at the reception desk at the hotel.,verified
richtig,other,A1,,richtig,,,0,0,,,,,0,Habe ich das richtig verstanden?,Did I understand that correctly?,richtig(1)	Habe ich das richtig verstanden?	Did I understand that correctly?,
riechen,verb,A1,,riechen,,,0,0,,,,,0,Dieser Wein riecht gut.,This wine smells good.,riechen	Dieser Wein riecht gut.	This wine smells good.,
ruhig,other,A1,,ruhig,,,0,0,,,,,0,Ich möchte ein ruhiges Zimmer.,I’d like a quiet room.,ruhig	Ich möchte ein ruhiges Zimmer.	I’d like a quiet room.,
der Saft,noun,A1,der,Saft,Säfte,¨-e,0,0,,,,,0,Möchtest du einen Apfelsaft?,Would you like an apple juice?,der Saft	Möchtest du einen Apfelsaft?	Would you like an apple juice?,verified
sagen,verb,A1,,sagen,,,0,0,,,,,0,"Sag mal, wie geht es dir denn?","Tell me, how are you doing?","sagen	Sag mal, wie geht es dir denn?	Tell me, how are you doing?",
der Salat,noun,A1,der,Salat,Salate,-e,0,0,,,,,0,Wie schmeckt dir der Salat?,How do you like the salad?,der Salat	Wie schmeckt dir der Salat?	How do you like the salad?,verified
das Salz,noun,A1,das,Salz,Salze,-e,0,0,,,,,0,"Herr Ober, kann ich bitte Salz haben?","Waiter, may I have some salt, please?","das Salz	Herr Ober, kann ich bitte Salz haben?	Waiter, may I have some salt, please?",verified
der Satz,noun,A1,der,Satz,Sätze,"-ä, e",0,0,,,,,0,Dieser Satz ist sehr einfach.,This sentence is very simple.,"der Satz, -ä, e	Dieser Satz ist sehr einfach.	This sentence is very simple.",verified
die S-Bahn,noun,A1,die,S-Bahn,S-Bahnen,wiktionary,0,0,,,,,0,Ich nehme lieber die S-Bahn.,I’d prefer to take the S-Bahn.,die S-Bahn	Ich nehme lieber die S-Bahn.	I’d prefer to take the S-Bahn.,verified
der Schalter,noun,A1,der,Schalter,Schalter,-,0,0,,,,,0,Gehen Sie bitte zum Schalter drei!,Please go to counter three!,der Schalter	Gehen Sie bitte zum Schalter drei!	Please go to counter three!,verified
scheinen,verb,A1,,scheinen,,,0,0,,,,,0,Die Sonne scheint.,The sun is shining.,scheinen	Die Sonne scheint.	The sun is shining.,
schicken,verb,A1,,schicken,,,0,0,,,,,0,Bitte schicken Sie mir eine E-Mail.,Please send me an email.,schicken	Bitte schicken Sie mir eine E-Mail.	Please send me an email.,
das Schild,noun,A1,das,Schild,Schilde,wiktionary,0,0,,,,,0,Haben Sie nicht das Schild gesehen?,Didn’t you see the sign?,"das Schild, -er	Haben Sie nicht das Schild gesehen?	Didn’t you see the sign?",verified
der Schinken,noun,A1,der,Schinken,Schinken,–,0,0,,,,,0,Ich möchte gern ein Schinkenbrot.,I’d like a ham sandwich.,"der Schinken, –	Ich möchte gern ein Schinkenbrot.	I’d like a ham sandwich.",verified
schlafen,verb,A1,,schlafen,,,0,0,,,,,0,Ich schlafe meistens acht Stunden.,I usually sleep for eight hours.,schlafen	Ich schlafe meistens acht Stunden.	I usually sleep for eight hours.,
schlecht,other,A1,,schlecht,,,0,0,,,,,0,Mir ist schlecht!,I feel sick!,schlecht(1)	Mir ist schlecht!	I feel sick!,
schließen,verb,A1,,schließen,,,0,0,,,,,0,"Bitte, schließen Sie die Tür.",Please close the door.,"schließen	Bitte, schließen Sie die Tür.	Please close the door.",
geschlossen,verb,A1,,geschlossen,,,0,0,,,,,0,Die Bank hat am Samstag geschlossen.,The bank is closed on Saturday.,geschlossen	Die Bank hat am Samstag geschlossen.	The bank is closed on Saturday.,
der Schluss,noun,A1,der,Schluss,Schlüsse,¨-e,0,0,,,,,0,Ich muss jetzt Schluss machen.,I have to finish now.,der Schluss(1)	Ich muss jetzt Schluss machen.	I have to finish now.,verified
der Schlüssel,noun,A1,der,Schlüssel,Schlüssel,–,0,0,,,,,0,Ich gebe Ihnen noch den Zimmerschlüssel.,I’ll give you the room key.,"der Schlüssel, –	Ich gebe Ihnen noch den Zimmerschlüssel.	I’ll give you the room key.",verified
schmecken,verb,A1,,schmecken,,,0,0,,,,,0,Schmeckt das gut?,Does it taste good?,schmecken	Schmeckt das gut?	Does it taste good?,
schnell,other,A1,,schnell,,,0,0,,,,,0,Er fährt schnell.,He drives fast.,schnell	Er fährt schnell.	He drives fast.,
schon,other,A1,,schon,,,0,0,,,,,0,Ist das Essen schon fertig?,Is the food ready yet?,schon(1)	Ist das Essen schon fertig?	Is the food ready yet?,
schön,other,A1,,schön,,,0,0,,,,,0,Schönen Urlaub!,Have a nice vacation!,schön(1)	Schönen Urlaub!	Have a nice vacation!,
der Schrank,noun,A1,der,Schrank,Schränke,"-ä, e",0,0,,,,,0,Die Gläser stehen im Schrank.,The glasses are in the cupboard.,"der Schrank, -ä, e	Die Gläser stehen im Schrank.	The glasses are in the cupboard.",verified
schreiben,verb,A1,,schreiben,,,0,0,,,,,0,Er schreibt jeden Tag fünfzig E-Mails.,He writes fifty emails every day.,schreiben	Er schreibt jeden Tag fünfzig E-Mails.	He writes fifty emails every day.,
der Schuh,noun,A1,der,Schuh,Schuhe,-e,0,0,,,,,0,Zieh die Schuhe aus!,Take off your shoes!,"der Schuh, -e	Zieh die Schuhe aus!	Take off your shoes!",verified
die Schule,noun,A1,die,Schule,Schulen,-n,0,0,,,,,0,Meine Tochter geht schon in die Schule.,My daughter is already in school.,die Schule(1)	Meine Tochter geht schon in die Schule.	My daughter is already in school.,verified
der Schüler,noun,A1,der,Schüler,Schüler,–,0,0,,,,,0,In meinem Kurs sind acht Schülerinnen und fünf Schüler.,"In my class, there are eight female students and five male students.","der Schüler, –	In meinem Kurs sind acht Schülerinnen und fünf Schüler.	In my class, there are eight female students and five male students.",verified
schwer,other,A1,,schwer,,,0,0,,,,,0,Ist Ihr Gepäck sehr schwer?,Is your luggage very heavy?,schwer(1)	Ist Ihr Gepäck sehr schwer?	Is your luggage very heavy?,
die Schwester,noun,A1,die,Schwester,Schwestern,-n,0,0,,,,,0,Meine Schwester kommt am Dienstag.,My sister is coming on Tuesday.,"die Schwester, -n	Meine Schwester kommt am Dienstag.	My sister is coming on Tuesday.",verified
schwimmen,verb,A1,,schwimmen,,,0,0,,,,,0,Ich schwimme jeden Tag einen Kilometer.,I swim a kilometer every day.,schwimmen	Ich schwimme jeden Tag einen Kilometer.	I swim a kilometer every day.,
das Schwimmbad,noun,A1,das,Schwimmbad,Schwimmbäder,¨-er,0,0,,,,,0,Kommst du mit ins Schwimmbad?,Are you coming to the swimming pool?,das Schwimmbad	Kommst du mit ins Schwimmbad?	Are you coming to the swimming pool?,verified
der See,noun,A1,der,See,Seen,-n,0,0,,,,,0,"Komm, wir fahren zum Starnberger See.",Let’s go to Lake Starnberg.,"der See	Komm, wir fahren zum Starnberger See.	Let’s go to Lake Starnberg.",verified
sehen,verb,A1,,sehen,,,0,0,,,,,0,Ich kann dich nicht sehen.,I can’t see you.,sehen(1)	Ich kann dich nicht sehen.	I can’t see you.,
die Sehenswürdigkeit,noun,A1,die,Sehenswürdigkeit,Sehenswürdigkeiten,-en,0,0,,,,,0,Welche Sehenswürdigkeiten gibt es in Frankfurt?,What sights are there to see in Frankfurt?,"die Sehenswürdigkeit, -en	Welche Sehenswürdigkeiten gibt es in Frankfurt?	What sights are there to see in Frankfurt?",verified
sehr,other,A1,,sehr,,,0,0,,,,,0,Danke sehr!,Thank you very much!,sehr(1)	Danke sehr!	Thank you very much!,
sein,other,A1,,sein,,,0,0,,,,,0,Herr Müller ist in seinem Zimmer.,Mr. Müller is in his room.,sein(1)	Herr Müller ist in seinem Zimmer.	Mr. Müller is in his room.,
weg sein,other,A1,,weg sein,,,0,0,,,,,0,Herr Meier ist schon weg.,Mr. Meier is already gone.,weg sein	Herr Meier ist schon weg.	Mr. Meier is already gone.,
zu sein,other,A1,,zu sein,,,0,0,,,,,0,Die Tür ist zu.,The door is closed.,zu sein	Die Tür ist zu.	The door is closed.,
seit,preposition,A1,,seit,,,0,0,dativ,,,,0,Ich wohne seit drei Jahren in Köln.,I have been living in Cologne for three years.,seit	Ich wohne seit drei Jahren in Köln.	I have been living in Cologne for three years.,
selbstständig,other,A1,,selbstständig,,,0,0,,,,,0,Er ist selbstständig.,He is self-employed.,selbstständig	Er ist selbstständig.	He is self-employed.,
sich,other,A1,,sich,,,0,0,,,,,0,Sie müssen sich erst anmelden.,You must first register.,sich	Sie müssen sich erst anmelden.	You must first register.,
sie,other,A1,,sie,,,0,0,,,,,0,Wie heißt sie?,What’s her name?,sie(1)	Wie heißt sie?	What’s her name?,
sitzen,verb,A1,,sitzen,,,0,0,,,,,0,Wo sitzen Sie?,Where are you sitting?,sitzen	Wo sitzen Sie?	Where are you sitting?,
so,other,A1,,so,,,0,0,,,,,0,Sie müssen das so machen!,You have to do it like this!,so(1)	Sie müssen das so machen!	You have to do it like this!,
das Sofa,noun,A1,das,Sofa,Sofas,-s,0,0,,,,,0,Das Sofa ist neu.,The sofa is new.,das Sofa	Das Sofa ist neu.	The sofa is new.,verified
sofort,other,A1,,sofort,,,0,0,,,,,0,Bitte antworten Sie sofort.,Please answer immediately.,sofort	Bitte antworten Sie sofort.	Please answer immediately.,
der Sohn,noun,A1,der,Sohn,Söhne,"-ö, e",0,0,,,,,0,"Das ist Hans, mein Sohn.","This is Hans, my son.","der Sohn, -ö, e	Das ist Hans, mein Sohn.	This is Hans, my son.",verified
sollen,verb,A1,,sollen,,,0,0,,,,,0,Soll ich kommen?,Should I come?,sollen(1)	Soll ich kommen?	Should I come?,
die Sonne,noun,A1,die,Sonne,Sonnen,-n,0,0,,,,,0,Die Sonne scheint.,The sun is shining.,die Sonne	Die Sonne scheint.	The sun is shining.,verified
spät,other,A1,,spät,,,0,0,,,,,0,"Es ist schon spät, ich muss gehen.","It’s already late, I have to go.","spät	Es ist schon spät, ich muss gehen.	It’s already late, I have to go.",
später,other,A1,,später,,,0,0,,,,,0,Das können wir später machen.,We can do that later.,später	Das können wir später machen.	We can do that later.,
die Speisekarte,noun,A1,die,Speisekarte,Speisekarten,-n,0,0,,,,,0,"Bringen Sie mir die Speisekarte, bitte.",Please bring me the menu.,"die Speisekarte	Bringen Sie mir die Speisekarte, bitte.	Please bring me the menu.",verified
spielen,verb,A1,,spielen,,,0,0,,,,,0,Die Kinder spielen draußen.,The children are playing outside.,spielen(1)	Die Kinder spielen draußen.	The children are playing outside.,
der Sport,noun,A1,der,Sport,,,1,0,,,,,0,Ich mache viel Sport.,I do a lot of sports.,der Sport	Ich mache viel Sport.	I do a lot of sports.,verified
die Sprache,noun,A1,die,Sprache,Sprachen,-n,0,0,,,,,0,Welche Sprachen sprichst du?,What languages do you speak?,"die Sprache, -n	Welche Sprachen sprichst du?	What languages do you speak?",verified
sprechen,verb,A1,,sprechen,,,0,0,,,,,0,Kann ich (mit) Herrn Klein sprechen?,May I speak with Mr. Klein?,sprechen	Kann ich (mit) Herrn Klein sprechen?	May I speak with Mr. Klein?,
die Stadt,noun,A1,die,Stadt,Städte,"-ä, e",0,0,,,,,0,Heidelberg ist eine alte Stadt.,Heidelberg is an old city.,"die Stadt, -ä, e	Heidelberg ist eine alte Stadt.	Heidelberg is an old city.",verified
